file_name,Model,Original_Summary,Word Mover Distance,Rouge_1,Rouge_2,Rouge_l,Rouge_be,Bert_F1
meeting_en_test_019,Unsupervised,minutes_GENER_annot24.deidentified.txt,-0.0832204377362587,0.1016693680544933,0.0156463004360464,0.0526176062202669,0.0209167779261237,0.2304944545030594
meeting_en_test_019,Bert2Bert,minutes_GENER_annot24.deidentified.txt,-0.1143578469025287,0.1093941475174881,0.0213750041520363,0.0605765755162605,0.0197548471770441,0.1134969219565391
meeting_en_test_019,Luhn,minutes_GENER_annot24.deidentified.txt,-0.0430612415987864,0.1106078727348157,0.0279234148665851,0.0599730681606769,0.0337834956671111,0.1091633811593055
meeting_en_test_019,LED,minutes_GENER_annot24.deidentified.txt,-0.3537691921532025,0.045800827158794,0.0051329732683362,0.0298693889497259,0.008317544524441,0.1129619851708412
meeting_en_test_019,TextRank,minutes_GENER_annot24.deidentified.txt,-0.04911933630917,0.1051686136436276,0.0231357275691569,0.054795511699134,0.0272584734274559,0.1202674657106399
meeting_en_test_019,T5,minutes_GENER_annot24.deidentified.txt,-0.0619677262567474,0.128577253140439,0.0332291096819376,0.0762228589135768,0.0326762824880524,0.22673299908638
meeting_en_test_019,LexRank,minutes_GENER_annot24.deidentified.txt,-0.237421046301418,0.079967541000512,0.0118944864437785,0.0479959971941982,0.0234320921749188,0.1535854637622833
meeting_en_test_019,LSA,minutes_GENER_annot24.deidentified.txt,-0.0217451492929194,0.1222688083916748,0.0343024688662035,0.0686976056325874,0.046407157973761,0.1401198953390121
meeting_en_test_019,Bart,minutes_GENER_annot24.deidentified.txt,-0.0529033447529942,0.1235275397708852,0.0360284801366587,0.0765816885205649,0.0267948928708422,0.219039961695671
meeting_en_test_019,Roberta2Roberta,minutes_GENER_annot24.deidentified.txt,-0.1388320814398899,0.0972246833794078,0.0246093437507573,0.0597762494049219,0.0219202850163237,0.2069443017244339
meeting_en_test_019,Pegasus,minutes_GENER_annot24.deidentified.txt,-0.280368810169501,0.1208612508259402,0.0257207729322548,0.0663561729599316,0.0217981177747726,0.2135272920131683
meeting_en_test_020,Bert2Bert,minutes_GENER_Annot13.deidentified.txt,-0.1131333149916441,0.0722102394715111,0.0122062311093561,0.0364003303055326,0.0083735403118663,0.0870092287659645
meeting_en_test_020,LED,minutes_GENER_Annot13.deidentified.txt,-0.2903521346508726,0.0316035350891615,0.0034162350709113,0.0179448241528207,0.008317544524441,0.0471091791987419
meeting_en_test_020,Roberta2Roberta,minutes_GENER_Annot13.deidentified.txt,-0.123160164621548,0.0600899196636482,0.0120441254181817,0.0328363497267223,0.0087438144280884,0.1575017720460891
meeting_en_test_020,Pegasus,minutes_GENER_Annot13.deidentified.txt,-0.2012255775934469,0.073179962980718,0.0090759204585253,0.0342412711728986,0.0076466528770391,0.1621564030647277
meeting_en_test_020,LSA,minutes_GENER_Annot13.deidentified.txt,-0.035351525570584,0.0868696516608787,0.0198941692354668,0.0449729804964637,0.0252402651650771,0.1110694780945777
meeting_en_test_020,Unsupervised,minutes_GENER_Annot13.deidentified.txt,-0.0787579107067907,0.056861432216587,0.0065948099211413,0.0291266817795747,0.0018691588785046,0.1457765996456146
meeting_en_test_020,LexRank,minutes_GENER_Annot13.deidentified.txt,-0.2149236410968134,0.046302994100671,0.0039464971214673,0.0254375143415977,0.0031496062992125,0.1202533692121505
meeting_en_test_020,T5,minutes_GENER_Annot13.deidentified.txt,-0.0643566897086828,0.0761027568922305,0.0159329551764808,0.0391040100250626,0.0160893606379727,0.1671492904424667
meeting_en_test_020,TextRank,minutes_GENER_Annot13.deidentified.txt,-0.0681595960995399,0.0739560387933282,0.0131558792932178,0.0345193972613429,0.0133414870305254,0.0988662615418434
meeting_en_test_020,Luhn,minutes_GENER_Annot13.deidentified.txt,-0.0499105726420773,0.0800176841832681,0.0181307225281866,0.0404559208620506,0.0164991467539361,0.0884512960910797
meeting_en_test_020,Bart,minutes_GENER_Annot13.deidentified.txt,-0.058218709374481,0.0750928195861103,0.01668004149888,0.0424586925885238,0.0080935941695435,0.1697730273008346
meeting_en_test_021,Roberta2Roberta,minutes_GENER_annot06_deidentified.txt,-0.2091905047341919,0.0749598081394846,0.0172875711110656,0.042501777236016,0.0140771477614217,0.1684035956859588
meeting_en_test_021,LSA,minutes_GENER_annot06_deidentified.txt,-0.0846763103139179,0.0978866008134211,0.0237239564695093,0.0509051838862942,0.0282253397919428,0.1152141690254211
meeting_en_test_021,Unsupervised,minutes_GENER_annot06_deidentified.txt,-0.1377109343101399,0.0764266496078914,0.0088170321433635,0.039996246996966,0.015202492211838,0.1830575764179229
meeting_en_test_021,TextRank,minutes_GENER_annot06_deidentified.txt,-0.1198421818229746,0.0843352803102943,0.0175646969284883,0.0409066228102451,0.0166201755551155,0.1026052832603454
meeting_en_test_021,Pegasus,minutes_GENER_annot06_deidentified.txt,-0.3720304249798578,0.0920324219971114,0.0148610444254674,0.0465363531401118,0.0113503565807428,0.1719501465559005
meeting_en_test_021,LED,minutes_GENER_annot06_deidentified.txt,-0.5207472957892023,0.0406944441800706,0.0034162350709113,0.0247630059710025,0.008317544524441,0.0885719135403633
meeting_en_test_021,Bert2Bert,minutes_GENER_annot06_deidentified.txt,-0.170172231103366,0.0855435728048444,0.0138822087629874,0.0436225525277548,0.0105240779462749,0.0928594693541526
meeting_en_test_021,Bart,minutes_GENER_annot06_deidentified.txt,-0.1128314222074338,0.0961983472243013,0.0248018689100475,0.0575340694729459,0.0153663214422708,0.1812274008989334
